year,continent,total_value,algeria_export_v,importers,products,demand_gap
2012,Africa,236591694.047,3726590.104,12,1219,232865103.943
2012,America,3695990423.958,19786810.219,19,1224,3676203613.739
2012,Asia,5778511685.652,5406358.297,30,1224,5773105327.3550005
2012,Europe,6180100141.23,45115694.892,33,1224,6134984446.338
2012,Pacific,265259176.40600002,32937.708,2,1221,265226238.698
2012,Unknown,18210737.417,2047.361,1,1198,18208690.056
2013,Africa,268933642.286,4433569.708,12,1222,264500072.578
2013,America,3704714907.369,11771912.917,19,1224,3692942994.452
2013,Asia,6105586684.449,6149405.748,30,1224,6099437278.701
2013,Europe,6258842166.366,47825703.943,33,1224,6211016462.423
2013,Pacific,253827598.832,73153.893,2,1222,253754444.939
2013,Unknown,20113767.242,2368.948,1,1193,20111398.294
2014,Africa,308587831.91,4605173.156,12,1223,303982658.754
2014,America,3745402418.689,9218593.466,19,1224,3736183825.223
2014,Asia,6075571498.538,7046800.9350000005,30,1224,6068524697.603
2014,Europe,6373616820.782,42177750.679,33,1224,6331439070.103
2014,Pacific,251973762.367,1852.7679999999998,2,1221,251971909.599
2014,Unknown,19590592.553,1418.034,1,1200,19589174.519
2015,Africa,281097503.545,2937793.672,12,1222,278159709.873
2015,America,3486609778.514,5467562.3719999995,19,1224,3481142216.142
2015,Asia,5184368584.316,3422827.8019999997,30,1224,5180945756.514
2015,Europe,5536835302.353,26563202.494,33,1224,5510272099.859
2015,Pacific,223985664.473,2252.749,2,1221,223983411.724
2015,Unknown,17751317.953,1045.241,1,1201,17750272.712
2016,Africa,249210432.414,1578893.726,12,1224,247631538.688
2016,America,3321228805.094,6802387.051,19,1224,3314426418.043
2016,Asia,4980436146.388,2709433.68,30,1224,4977726712.708
2016,Europe,5564391925.584,20180489.218,33,1224,5544211436.366
2016,Pacific,215104703.264,218092.231,2,1220,214886611.033
2016,Unknown,17445460.273000002,58.481,1,1192,17445401.792
2017,Africa,265315544.581,2389243.847,12,1224,262926300.734
2017,America,3569371752.801,6781935.917,19,1224,3562589816.884
2017,Asia,5716669494.575,4223608.081,30,1224,5712445886.494
2017,Europe,6109007316.451,24756488.986,33,1224,6084250827.465
2017,Pacific,251581540.026,336826.58999999997,2,1221,251244713.436
2017,Unknown,20629686.239,100.107,1,1193,20629586.132
2018,Africa,301627219.447,2143199.097,12,1224,299484020.35
2018,America,3875661058.86,7650200.274,19,1224,3868010858.586
2018,Asia,6329631534.38,6063374.041,30,1224,6323568160.339
2018,Europe,6670161914.484,24823801.165999997,33,1224,6645338113.318
2018,Pacific,264950276.717,564666.434,2,1217,264385610.283
2018,Unknown,24243306.725,133.531,1,1204,24243173.194000002
2019,Africa,306319846.674,2532154.255,12,1223,303787692.419
2019,America,3775792392.121,4586959.489,19,1224,3771205432.632
2019,Asia,6121070144.111,7135219.943,30,1223,6113934924.168
2019,Europe,6489414009.056,20751754.814,33,1224,6468662254.242
2019,Pacific,251173356.238,653804.0190000001,2,1218,250519552.219
2019,Unknown,25392017.151,439.825,1,1201,25391577.326
2020,Africa,281108417.702,1528703.601,12,1223,279579714.101
2020,America,3407402169.829,1538846.774,19,1224,3405863323.055
2020,Asia,5596021497.473,4555460.662,30,1223,5591466036.811
2020,Europe,6064257726.438,13612304.123,33,1223,6050645422.315
2020,Pacific,236168273.522,117656.64600000001,2,1219,236050616.876
2020,Unknown,24767865.549,552.3100000000001,1,1200,24767313.239
2021,Africa,343465448.819,1665461.254,12,1222,341799987.565
2021,America,4256392051.054,3297624.18,19,1224,4253094426.874
2021,Asia,7100808410.349,7057389.705,30,1223,7093751020.644
2021,Europe,7471098976.006,25350708.264,33,1223,7445748267.742
2021,Pacific,293727820.673,163335.893,2,1218,293564484.78
2021,Unknown,31736809.202,1865.4750000000001,1,1205,31734943.727
2022,Africa,390854792.871,2208591.258,12,1222,388646201.613
2022,America,4938101686.735,5060918.812,19,1223,4933040767.923
2022,Asia,7768790908.468,10136522.166,30,1222,7758654386.302
2022,Europe,8457891552.426,46575490.155,33,1222,8411316062.271
2022,Pacific,340060146.097,263495.727,2,1218,339796650.37
2022,Unknown,38327461.244,5120.918000000001,1,1206,38322340.326
2023,Africa,391767283.122,2126852.616,12,1220,389640430.506
2023,America,4680932403.456,5679479.635,19,1224,4675252923.821
2023,Asia,7342032969.508,6671716.724,30,1222,7335361252.784
2023,Europe,8099110940.29,40770545.059,33,1222,8058340395.231
2023,Pacific,322243455.327,179482.743,2,1215,322063972.584
2023,Unknown,36939401.39,4635.636,1,1194,36934765.754
2024,Africa,386833556.475,2175381.2770000002,12,1220,384658175.198
2024,America,4830738862.025,4447537.791999999,19,1224,4826291324.233
2024,Asia,7345342686.751,6559520.213,30,1222,7338783166.538
2024,Europe,7790724691.258,34457578.64,33,1222,7756267112.618
2024,Pacific,321192508.537,104196.54000000001,2,1217,321088311.997
2024,Unknown,38551936.633,8026.081999999999,1,1199,38543910.551
