year,algeria_export_v,algeria_present_pairs,total_import_demand
2012,74070438.581,2596,16174663858.710001
2013,70256115.157,2987,16612018766.544
2014,63051589.038,3048,16774742924.839
2015,38394684.33,3138,14730648151.154
2016,31489354.387000002,3426,14347817473.017
2017,38488203.528,3780,15932575334.673
2018,41245374.543,2990,17466275310.613
2019,35660332.345,3222,16969161765.351
2020,21353524.116,3099,15609725950.513
2021,37536384.771,4338,19497229516.103
2022,64250139.036,4391,21934026547.841
2023,55432712.413,4212,20873026453.093
2024,47752240.544,4065,20713384241.679
