,total_value,algeria_market_share,world_demand_growth_3y,global_demand_index,global_demand_growth,market_penetration_ratio,algeria_product_count,algeria_market_count,gdp_usd,gdp_per_capita,gdp_growth_rate,population,trade_openness,inflation_rate,distance_km,shares_border,common_language_off,common_language_eth,colonial_link,common_colonizer,is_landlocked
total_value,1.0,0.018,-0.019,0.316,0.01,0.032,0.066,0.129,0.141,0.046,0.0,0.074,-0.007,-0.013,0.007,-0.012,-0.012,-0.01,0.021,-0.011,-0.017
algeria_market_share,0.018,1.0,0.008,0.036,-0.003,0.123,0.033,0.075,0.001,-0.006,-0.004,0.002,-0.004,-0.001,-0.021,0.048,0.019,0.02,0.007,0.036,-0.009
world_demand_growth_3y,-0.019,0.008,1.0,-0.024,0.044,-0.023,-0.085,-0.099,-0.063,-0.102,0.042,-0.022,-0.03,0.033,0.017,0.025,0.032,0.034,-0.03,0.036,0.014
global_demand_index,0.316,0.036,-0.024,1.0,0.017,0.012,-0.001,0.414,-0.002,-0.005,-0.011,-0.001,-0.003,-0.001,0.001,0.002,0.0,0.001,-0.001,0.002,0.001
global_demand_growth,0.01,-0.003,0.044,0.017,1.0,-0.002,0.015,0.021,0.002,0.011,0.134,-0.001,0.011,0.007,0.0,-0.001,-0.002,-0.002,0.001,0.0,-0.001
market_penetration_ratio,0.032,0.123,-0.023,0.012,-0.002,1.0,0.194,0.037,0.048,0.035,-0.009,0.014,-0.015,-0.011,-0.061,0.046,0.059,0.063,0.147,0.034,-0.019
algeria_product_count,0.066,0.033,-0.085,-0.001,0.015,0.194,1.0,0.004,0.27,0.29,-0.027,0.103,-0.031,-0.067,-0.343,0.137,0.285,0.295,0.585,0.097,-0.06
algeria_market_count,0.129,0.075,-0.099,0.414,0.021,0.037,0.004,1.0,-0.001,-0.001,0.014,-0.002,0.001,0.014,0.002,0.004,0.003,0.003,-0.002,0.004,0.002
gdp_usd,0.141,0.001,-0.063,-0.002,0.002,0.048,0.27,-0.001,1.0,0.198,0.015,0.534,-0.198,-0.051,0.079,-0.054,-0.08,-0.073,0.072,-0.068,-0.1
gdp_per_capita,0.046,-0.006,-0.102,-0.005,0.011,0.035,0.29,-0.001,0.198,1.0,-0.051,-0.138,0.464,-0.153,-0.174,-0.126,0.211,0.108,0.079,-0.188,0.107
gdp_growth_rate,0.0,-0.004,0.042,-0.011,0.134,-0.009,-0.027,0.014,0.015,-0.051,1.0,0.107,0.038,-0.219,0.068,0.018,-0.019,-0.016,-0.033,0.09,0.003
population,0.074,0.002,-0.022,-0.001,-0.001,0.014,0.103,-0.002,0.534,-0.138,0.107,1.0,-0.222,-0.016,0.147,-0.045,-0.118,-0.111,-0.002,-0.037,-0.11
trade_openness,-0.007,-0.004,-0.03,-0.003,0.011,-0.015,-0.031,0.001,-0.198,0.464,0.038,-0.222,1.0,-0.128,-0.19,-0.012,0.104,-0.005,-0.048,0.028,0.171
inflation_rate,-0.013,-0.001,0.033,-0.001,0.007,-0.011,-0.067,0.014,-0.051,-0.153,-0.219,-0.016,-0.128,1.0,0.042,-0.019,-0.04,-0.035,-0.026,-0.041,-0.041
distance_km,0.007,-0.021,0.017,0.001,0.0,-0.061,-0.343,0.002,0.079,-0.174,0.068,0.147,-0.19,0.042,1.0,-0.209,-0.295,-0.273,-0.112,-0.025,-0.127
shares_border,-0.012,0.048,0.025,0.002,-0.001,0.046,0.137,0.004,-0.054,-0.126,0.018,-0.045,-0.012,-0.019,-0.209,1.0,0.346,0.357,-0.018,0.51,-0.065
common_language_off,-0.012,0.019,0.032,0.0,-0.002,0.059,0.285,0.003,-0.08,0.211,-0.019,-0.118,0.104,-0.04,-0.295,0.346,1.0,0.968,0.207,0.226,-0.031
common_language_eth,-0.01,0.02,0.034,0.001,-0.002,0.063,0.295,0.003,-0.073,0.108,-0.016,-0.111,-0.005,-0.035,-0.273,0.357,0.968,1.0,0.214,0.237,-0.102
colonial_link,0.021,0.007,-0.03,-0.001,0.001,0.147,0.585,-0.002,0.072,0.079,-0.033,-0.002,-0.048,-0.026,-0.112,-0.018,0.207,0.214,1.0,-0.024,-0.039
common_colonizer,-0.011,0.036,0.036,0.002,0.0,0.034,0.097,0.004,-0.068,-0.188,0.09,-0.037,0.028,-0.041,-0.025,0.51,0.226,0.237,-0.024,1.0,-0.086
is_landlocked,-0.017,-0.009,0.014,0.001,-0.001,-0.019,-0.06,0.002,-0.1,0.107,0.003,-0.11,0.171,-0.041,-0.127,-0.065,-0.031,-0.102,-0.039,-0.086,1.0
