year,Agriculture & Food,Arms & Ammunition,Arts & Antiques,Chemicals,Energy & Hydrocarbons,Footwear & Headgear,Furniture & Misc,Instruments & Optics,Machinery & Equipment,Metals & Metal Products,Minerals & Raw Materials,Plastics & Rubber,Precious Metals & Gems,"Stone, Glass & Ceramics",Textiles & Clothing,Transport,"Wood, Paper & Leather"
2012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013,1.0759296864834136,1.0111240590028259,1.046907328588072,1.0288082703748718,1.0184700580753427,1.05576047934734,1.0339926076583728,1.0298533803293266,1.0088873128279685,0.9866673168932429,1.0475789777818327,1.0357363881704034,1.0669557338641833,1.0431798178895229,1.0408636655122043,1.033441972569669,1.050621231359269
2014,1.1130082617289296,1.0449931920504354,1.07472118500279,1.0551308304472513,0.957048749001411,1.1228918224870301,1.103199298363387,1.0368997991843818,1.0441935928283537,1.0232173470718087,0.9804730577365862,1.0629365636344363,0.9471095549198837,1.1156024084926746,1.0711342006486528,1.0747810236908648,1.0846000906052224
2015,1.0185538502203129,1.0814712863839924,1.1065374782827901,0.9691682068754655,0.5886496620500983,1.0931644247554584,1.0832275812045693,1.011550464899949,0.990709116492005,0.8968407763222694,0.7320837886875958,0.9567548175315251,0.8220346780065723,1.0421565099083998,1.0172688923258146,1.0428877850897962,0.9901230226456744
2016,1.0299046765071127,1.3195563861962267,1.0629841785783194,0.9696938466015625,0.48985674099845483,1.0692163851601049,1.0854907895109964,1.0015974100360232,0.9759711174912529,0.8304288744398125,0.7078543831611435,0.9448495979802549,0.9017971830662663,1.0509644706128412,0.9996432094390127,1.049078843408557,0.9697905881961597
2017,1.106729096841481,1.2326261823406075,1.052786131200131,1.0595365668636116,0.6475633513430735,1.12843514231134,1.170206226477395,1.0745983954653677,1.0773425553763525,0.9635282602769077,0.8746013639454816,1.044419821322785,0.8856523596134731,1.0931397490955148,1.0461568273836328,1.121888479799162,1.0146569236935976
2018,1.1609593569172145,1.2768247276024944,1.2472289364699245,1.1886780544749342,0.8236589070772221,1.1910885622220562,1.2371268061166865,1.1384236855288026,1.1605577184212772,1.0764131799209606,0.9395535614922483,1.1279156325299369,0.8856776162351973,1.1739241291722837,1.1204782218721203,1.1650590629982231,1.1034009979742267
2019,1.1586425889643561,1.4269504676645075,1.3308816143717763,1.1821177526064606,0.7436413270932218,1.2143656708220436,1.2196408449789125,1.1426295597716698,1.1401843400520082,0.9941206911132877,1.0098642038395629,1.0843732609261458,0.8988360875039683,1.1431033633073793,1.0967522916486505,1.1454939552480525,1.0438802018357292
2020,1.1864917948750309,1.1121557702680043,0.8029695238754309,1.1966962334453337,0.49545739255967647,1.0338247435637453,1.188090333691798,1.0911330914000466,1.1050998973246975,0.9055580233509641,1.0712541377349818,1.0373602448432597,0.9256573741594817,1.0969426382376732,1.064363020174058,0.9488731146826286,0.9483238104196716
2021,1.3744281443130943,1.3321082681409468,1.174673330772031,1.4582869030095298,0.821760756954624,1.233699358785133,1.478519905669819,1.252318999315678,1.3093049249540467,1.2774926061813179,1.5440458093567808,1.348484628535938,1.1155044904285698,1.3098828188432716,1.1744247023852947,1.0799296134775225,1.1714423396174118
2022,1.5098060139098832,1.572850798933223,1.3202608272974516,1.629447061898488,1.3066072894066074,1.4794526789211915,1.4951978784374687,1.243689855658471,1.3653081970500327,1.3723076400203937,1.3798096906775008,1.3778333492862598,1.2344291661591547,1.3604893115109582,1.2633772674790409,1.1380646323013097,1.2673632278802167
2023,1.5030481678188607,1.8879881621646057,1.3541675093830037,1.5275149291834982,1.048215819695725,1.3360516960992317,1.3677560630129209,1.2842827180361824,1.350428379129319,1.236283146526297,1.4043175564764216,1.2318282861901697,1.2385352297364263,1.2896246160203786,1.1439610756412786,1.3464819559681251,1.1219653252510735
2024,1.5118244663218743,2.5317137279967543,1.277692746308725,1.5322623527890815,0.9482225050887333,1.3484833071481523,1.391941348053087,1.2977521673389552,1.394030492426965,1.2202819220636771,1.3775493831477494,1.259162571253776,1.1839724373655771,1.2846441539575986,1.1603980793837883,1.3146725060881637,1.1214652806607488
